C1	22.61	25.53	270.00		C0402
C2	29.72	20.96	0.00		C0402
C3	27.30	29.97	180.00		C0402
C4	30.48	27.69	270.00	2.2nF	C0402
IC1	26.04	25.40	270.00	OPA4377AIPWR	SOP65P640X120-14N
R1	29.85	29.34	0.00		R0402
R2	29.46	25.65	90.00		R0402
R3	29.34	27.81	90.00		R0402
R4	23.24	29.85	180.00		R0402
R5	25.91	20.96	0.00		R0402
R6	23.88	20.96	0.00		R0402
R7	22.73	28.07	270.00		R0402
R8	29.85	22.10	0.00		R0402
